DiagnosisCode,DiagnosisGrouping,DiagnosisDescription
Z991,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Dependence on respirator
Z988,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Other specified postsurgical states
Z981,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Arthrodesis status
Z975,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of (intrauterine) contraceptive device
Z966,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of orthopaedic joint implants
Z961,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of intraocular lens
Z958,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of other cardiac and vascular implants and grafts
Z952,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of prosthetic heart valve
Z951,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of aortocoronary bypass graft
Z950,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Presence of cardiac pacemaker
Z947,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Corneal transplant status
Z944,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Liver transplant status
Z940,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Kidney transplant status
Z932,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Ileostomy status
Z930,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Tracheostomy status
Z918,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,"Personal history of other specified risk-factors, not elsewhere classified"
Z896,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Acquired absence of leg above knee
Z894,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Acquired absence of foot and ankle
Z878,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of other specified conditions
Z873,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of diseases of the musculoskeletal system and connective tissue
Z870,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of diseases of the respiratory system
Z867,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of diseases of the circulatory system
Z862,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Z860,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of other neoplasms
Z858,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of malignant neoplasms of other organs and systems
Z857,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues"
Z853,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Personal history of malignant neoplasm of breast
Z851,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,"Personal history of malignant neoplasm of trachea, bronchus and lung"
Z848,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Family history of other specified conditions
Z824,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Family history of ischaemic heart disease and other diseases of the circulatory system
Z804,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Family history of malignant neoplasm of genital organs
Z803,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Family history of malignant neoplasm of breast
Z800,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Family history of malignant neoplasm of digestive organs
Z798,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z790,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z789,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z780,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z772,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z768,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z685,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z683,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z682,Persons encountering health services in other circumstances,Persons encountering health services in other specified circumstances
Z518,Persons encountering health services for specific procedures and health care,Other specified medical care
Z515,Persons encountering health services for specific procedures and health care,Palliative care
Z510,Persons encountering health services for specific procedures and health care,Radiotherapy session
Z488,Persons encountering health services for specific procedures and health care,Other specified surgical follow-up care
Z480,Persons encountering health services for specific procedures and health care,Attention to surgical dressings and sutures
Z471,Persons encountering health services for specific procedures and health care,Other orthopaedic follow-up care
Z468,Persons encountering health services for specific procedures and health care,Fitting and adjustment of other specified devices
Z466,Persons encountering health services for specific procedures and health care,Fitting and adjustment of urinary device
Z458,Persons encountering health services for specific procedures and health care,Adjustment and management of other implanted devices
Z452,Persons encountering health services for specific procedures and health care,Adjustment and management of vascular access device
Z450,Persons encountering health services for specific procedures and health care,Adjustment and management of cardiac pacemaker
Z436,Persons encountering health services for specific procedures and health care,Attention to other artificial openings of urinary tract
Z431,Persons encountering health services for specific procedures and health care,Attention to gastrostomy
Z421,Persons encountering health services for specific procedures and health care,Follow-up care involving plastic surgery of breast
Z412,Persons encountering health services for specific procedures and health care,Routine and ritual circumcision
Z392,Persons encountering health services in circumstances related to reproduction,Routine postpartum follow-up
Z383,Persons encountering health services in circumstances related to reproduction,"Twin, born in hospital"
Z382,Persons encountering health services in circumstances related to reproduction,"Singleton, unspecified as to place of birth"
Z380,Persons encountering health services in circumstances related to reproduction,"Singleton, born in hospital"
Z368,Persons encountering health services in circumstances related to reproduction,Other antenatal screening
Z362,Persons encountering health services in circumstances related to reproduction,Other antenatal screening based on amniocentesis
Z349,Persons encountering health services in circumstances related to reproduction,"Supervision of normal pregnancy, unspecified"
Z348,Persons encountering health services in circumstances related to reproduction,Supervision of other normal pregnancy
Z340,Persons encountering health services in circumstances related to reproduction,Supervision of normal first pregnancy
Z320,Persons encountering health services in circumstances related to reproduction,"Pregnancy, not (yet) confirmed"
Z314,Persons encountering health services in circumstances related to reproduction,Procreative investigation and testing
Z309,Persons encountering health services in circumstances related to reproduction,"Contraceptive management, unspecified"
Z304,Persons encountering health services in circumstances related to reproduction,Surveillance of contraceptive drugs
Z302,Persons encountering health services in circumstances related to reproduction,Sterilization
Z300,Persons encountering health services in circumstances related to reproduction,General counselling and advice on contraception
Z23,Persons with potential health hazards related to communicable diseases,Need for immunization against single bacterial diseases
Z206,Persons with potential health hazards related to communicable diseases,Contact with and exposure to human immunodeficiency virus [HIV]
Z202,Persons with potential health hazards related to communicable diseases,Contact with and exposure to infections with a predominantly sexual mode of transmission
Z150,Persons encountering health services for examination and investigation,Special screening examination for other specified diseases and disorders
Z138,Persons encountering health services for examination and investigation,Special screening examination for other specified diseases and disorders
Z124,Persons encountering health services for examination and investigation,Special screening examination for neoplasm of cervix
Z123,Persons encountering health services for examination and investigation,Special screening examination for neoplasm of breast
Z122,Persons encountering health services for examination and investigation,Special screening examination for neoplasm of respiratory organs
Z121,Persons encountering health services for examination and investigation,Special screening examination for neoplasm of intestinal tract
Z115,Persons encountering health services for examination and investigation,Special screening examination for other viral diseases
Z114,Persons encountering health services for examination and investigation,Special screening examination for human immunodeficiency virus [HIV]
Z113,Persons encountering health services for examination and investigation,Special screening examination for infections with a predominantly sexual mode of transmission
Z111,Persons encountering health services for examination and investigation,Special screening examination for respiratory tuberculosis
Z09,Persons encountering health services for examination and investigation,Follow-up examination after treatment for conditions other than malignant neoplasm
Z08,Persons encountering health services for examination and investigation,Follow-up examination after treatment for malignant neoplasms
Z051,Persons encountering health services for examination and investigation,Follow-up examination after treatment for malignant neoplasms
Z043,Persons encountering health services for examination and investigation,Examination and observation following other accident
Z025,Persons encountering health services for examination and investigation,Examination for participation in sport
Z018,Persons encountering health services for examination and investigation,Other specified special examinations
Z014,Persons encountering health services for examination and investigation,Gynaecological examination (general)(routine)
Z001,Persons encountering health services for examination and investigation,Routine child health examination
Z000,Persons encountering health services for examination and investigation,General medical examination
W19X,Accidents: Other external causes of accidental injury: Falls,Unspecified fall
T864,"Complications of surgical and medical care, not elsewhere classified",Liver transplant failure and rejection
